,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
92,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-1.0,-0.05775242987625939,-1.0,False
93,-0.32435348190568236,0.4663037952758935,-0.6818023842614117,-0.08691148484622191,-0.7523776572625627,0.15386711595884006,-0.7878268803130803,0.24369445907940546,-0.045565053719718085,False
94,-0.32435348190568236,0.4754627070346522,-1.0,-0.387146181750608,-0.7523776572625627,-0.0062912606020715245,-0.7878268803130803,0.2795953779641289,-1.0,False
95,-0.32435348190568236,0.4802591099513729,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,0.05053625360199532,-1.0,False
96,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.09956727606026172,-1.0,False
97,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-1.0,-0.05775242987625939,-1.0,False
98,-0.32435348190568236,0.4663037952758935,-0.6818023842614117,-0.08691148484622191,-0.7523776572625627,0.09758208533818613,-0.7878268803130803,0.24369445907940546,-0.045565053719718085,False
99,-0.32435348190568236,0.4726800884387703,-1.0,-0.31772041430279185,-0.7523776572625627,0.08863325652595644,-0.7878268803130803,0.2690406619784813,-1.0,False
100,-0.32435348190568236,0.46986620381118493,-1.0,-0.387146181750608,-0.7523776572625627,0.049993770018582184,-0.7878268803130803,0.2552493782979841,-1.0,False
101,-0.32435348190568236,0.4740752625046418,-1.0,-0.387146181750608,-0.7523776572625627,0.02869477525057218,-0.7878268803130803,0.27436876692640055,-1.0,False
102,-0.32435348190568236,0.4775295668856714,-1.0,-0.47211645390843004,-1.0,-0.1253502732797186,-0.7878268803130803,0.24369445907940546,-1.0,False
103,-0.32435348190568236,0.46915776459162184,-1.0,-0.387146181750608,-0.7523776572625627,0.0699176490283755,-0.7878268803130803,0.2552493782979841,-1.0,False
104,-0.32435348190568236,0.47889805716045175,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-0.7878268803130803,0.1883046510508093,-1.0,False
105,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.2597386111226311,-0.7878268803130803,0.2057875558226594,-1.0,False
106,-0.32435348190568236,0.48228691938787427,-1.0,-0.5816621873485768,-1.0,-0.44686059968038205,-0.7878268803130803,-0.024452372010274948,-1.0,False
107,-0.32435348190568236,0.4775295668856714,-1.0,-0.5816621873485768,-1.0,-0.16398975978709285,-0.7878268803130803,0.23772925060223882,-1.0,False
